workspace,milestone_id,title,category,is_graded,patch_src_loc,patch_total_loc,src_additions,src_deletions,all_additions,all_deletions,touched_src_files,touched_test_files,srs_word_count,dag_topological_position,dag_position_fraction,dag_layer,dag_layer_fraction,dag_indegree,dag_outdegree,raw_fail_to_pass,raw_none_to_pass,raw_pass_to_pass,invalid_fail_to_pass,invalid_none_to_pass,invalid_pass_to_pass,effective_fail_to_pass,effective_none_to_pass,effective_pass_to_pass,effective_functional_tests,effective_total_tests,intrinsic_difficulty_raw,continuous_difficulty_raw,intrinsic_difficulty_score,continuous_difficulty_score,difficulty_band,independent_n_models,independent_pass_rate,independent_mean_recall,independent_mean_precision,independent_mean_score,e2e_observed_models,e2e_resolved_sum,e2e_score_sum,e2e_conditional_pass_rate,e2e_conditional_mean_score,e2e_expected_models,e2e_coverage,e2e_all_model_pass_rate,e2e_all_model_mean_score,log1p_patch_src_loc,difficulty_tail
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M025,Miscellaneous Fixes and Improvements,Maintenance,True,135,265,27,108,75,190,24,0,1301,13,1.0,1,0.5,1,0,0,0,6924,0,0,10,0,0,6914,0,6914,-0.7218159377967752,-0.3516327863162913,42.78,46.48,central,10,0.9,1.0,0.95,0.9666666666666666,22.0,2.0,3.990512565303553,0.09090909090909091,0.18138693478652515,26,0.8461538461538461,0.07692307692307693,0.15348125251167513,4.912654885736052,almost_always_solved
element-hq_element-web_v1.11.95_v1.11.97,maintenance_ui_ux,UI/UX and Accessibility Improvements,Maintenance,True,100,426,58,42,249,177,9,24,1403,1,0.0,0,0.0,0,1,29,0,5237,2,0,0,27,0,5237,27,5264,-0.7197438932010226,-0.770022547658248,42.8,42.3,central,10,0.0,0.7586206896551724,0.3995415959252971,0.5176430555208046,25.0,0.0,14.352712922025779,0.0,0.5741085168810312,26,0.9615384615384616,0.0,0.5520274200779146,4.61512051684126,almost_never_solved
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_3762d40_1,Enhanced Rageshake Error Reporting,Quality,True,127,259,99,28,231,28,2,1,1016,2,0.0588235294117647,0,0.0,0,1,8,0,5326,0,0,0,8,0,5326,8,5334,-0.6260225774815268,-0.6770263535046486,43.74,43.23,central,10,0.7,0.7875,0.9000256673511293,0.7933333333333333,25.0,0.0,2.117299266517957,0.0,0.08469197066071828,26,0.9615384615384616,0.0,0.08143458717376759,4.852030263919617,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_56c7fc1_1,Identity Reset Protection UX Enhancement,Security,True,62,399,51,11,384,15,5,5,744,3,0.1176470588235294,0,0.0,0,1,2,0,5208,0,0,0,2,0,5208,2,5210,-1.2486942725669508,-1.1478833350034456,37.51,38.52,lower,10,0.9,0.9,1.0,0.9,26.0,16.0,18.416666666666668,0.6153846153846154,0.7083333333333334,26,1.0,0.6153846153846154,0.7083333333333334,4.143134726391533,almost_always_solved
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_599112e_1,Compound Design System Checkbox Migration,Quality,True,572,3791,184,388,2358,1433,27,16,2217,4,0.1764705882352941,0,0.0,0,0,15,0,5208,9,0,0,6,0,5208,6,5214,0.485618223938127,0.2283377198805516,54.86,52.28,central,10,0.2,0.44666666666666666,0.975,0.5607546864899806,25.0,2.0,12.013790838790838,0.08,0.4805516335516335,26,0.9615384615384616,0.07692307692307693,0.46206887841503225,6.35088571671474,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_7ff1fd2_1,Room List Store V3 Filter Infrastructure,Feature,True,486,1109,427,59,961,148,19,6,2437,5,0.2352941176470588,0,0.0,0,1,1,28,5205,0,0,0,1,28,5205,29,5234,0.4743502464716224,0.2313510865864874,54.74,52.31,central,10,0.6,0.9137931034482758,0.9571428571428571,0.928676236044657,24.0,4.0,15.287859430288318,0.16666666666666666,0.63699414292868,26,0.9230769230769231,0.15384615384615385,0.5879945934726276,6.18826412308259,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_aa99601_1,Group Call Error Screen Display,Feature,True,293,704,151,142,343,361,11,11,1220,6,0.2941176470588235,0,0.0,0,2,4,0,5325,0,0,0,4,0,5325,4,5329,-0.0424533954961732,-0.1534175827100627,49.58,48.47,central,10,0.0,0.625,0.46616327804530056,0.5215605598232138,24.0,0.0,1.2358541498324729,0.0,0.05149392290968637,26,0.9230769230769231,0.0,0.047532851916633576,5.683579767338681,almost_never_solved
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_8bb4d44_1,Element Call Bundle Integration,Feature,True,135,294,113,22,261,33,7,8,1059,7,0.3529411764705882,1,0.25,1,0,6,2,5180,0,0,0,6,2,5180,8,5188,-0.5830704392641395,-0.4970935860974055,44.17,45.03,central,10,0.6,0.7,1.0,0.7434343434343434,24.0,0.0,8.01820736427142,0.0,0.3340919735113092,26,0.9230769230769231,0.0,0.3083925909335162,4.912654885736052,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_be3778b_1,Key Storage Toggle for Encryption Settings,Security,True,372,819,351,21,784,35,10,14,2007,8,0.4117647058823529,0,0.0,0,1,1,8,5255,0,0,0,1,8,5255,9,5264,0.189345551357311,0.0582560951477911,51.89,50.58,central,10,0.6,0.9111111111111111,0.9800000000000001,0.9413732394366198,24.0,0.0,7.681972904972804,0.0,0.32008220437386686,26,0.9230769230769231,0.0,0.29546049634510785,5.921578419643816,middle
element-hq_element-web_v1.11.95_v1.11.97,feature_enhancements,Feature Enhancements,Feature,True,253,882,225,28,735,147,9,10,1092,9,0.4705882352941176,1,0.25,3,1,10,3,5250,0,0,0,10,3,5250,13,5263,-0.0754382156515872,-0.06741162436552,49.25,49.33,central,10,0.8,0.9307692307692308,1.0,0.958008658008658,23.0,0.0,8.080860356278524,0.0,0.3513417546208054,26,0.8846153846153846,0.0,0.3108023213953279,5.537334267018537,almost_always_solved
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_3f47487_1,React DOM Rendering Modernization,Platform,True,1428,2969,716,712,1608,1361,63,28,2346,10,0.5294117647058824,2,0.5,1,1,15,7,5239,2,0,0,13,7,5239,20,5259,1.2615393640171753,1.0652327410912397,62.62,60.65,higher,10,0.0,0.33590909090909093,0.11806537144887055,0.16516502032257846,23.0,0.0,3.7529836986276934,0.0,0.1631732042881606,26,0.8846153846153846,0.0,0.1443455268702959,7.264730177929867,almost_never_solved
element-hq_element-web_v1.11.95_v1.11.97,maintenance_bug_fixes,Bug Fixes and Stability Improvements,Maintenance,True,80,167,47,33,128,39,6,6,1430,11,0.5882352941176471,3,0.75,1,1,2,0,5256,0,0,0,2,0,5256,2,5258,-1.057726485437206,-0.6683184357239255,39.42,43.32,central,10,0.7,0.95,0.8928571428571429,0.8933333333333333,7.0,0.0,0.5674345609313676,0.0,0.08106208013305251,26,0.2692307692307692,0.0,0.021824406189667984,4.394449154672439,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_05df321_1,React 19 JSX Import Migration,Platform,True,456,1039,238,218,657,382,269,17,1261,12,0.6470588235294118,4,1.0,2,0,0,0,5271,0,0,0,0,0,5271,0,5271,0.1664163712562634,0.3799049190380308,51.66,53.8,central,10,0.9,1.0,0.9004081632653061,0.9008130081300812,7.0,0.0,0.15988108925371813,0.0,0.02284015560767402,26,0.2692307692307692,0.0,0.006149272663604544,6.124683390894205,almost_always_solved
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e662c19_1,Image and Video Hiding Privacy Feature,Feature,True,446,827,334,112,663,164,18,7,2194,13,0.7058823529411765,0,0.0,0,0,6,9,5216,0,0,0,6,9,5216,15,5231,0.3614993352110768,0.2714180815285021,53.61,52.71,central,10,0.0,0.7533333333333333,0.4967934268659319,0.5773841578942668,24.0,0.0,5.808049074948821,0.0,0.24200204478953422,26,0.9230769230769231,0.0,0.22338650288264697,6.102558594613569,almost_never_solved
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e9a3625_1_sub-01,Room List V3 ViewModel Foundation,Feature,True,415,979,412,3,873,106,6,4,1212,14,0.7647058823529411,1,0.25,1,1,0,2,5236,0,0,0,0,2,5236,2,5238,0.1790137345132259,0.2160329836617315,51.79,52.16,central,10,1.0,1.0,1.0,1.0,24.0,1.0,6.035809688014924,0.041666666666666664,0.25149207033395515,26,0.9230769230769231,0.038461538461538464,0.23214652646211245,6.030685260261263,almost_always_solved
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e9a3625_1_sub-02,Room List V3 UI Components,Feature,True,791,2840,738,53,2552,288,22,34,2111,15,0.8235294117647058,2,0.5,1,1,0,60,5192,0,0,0,0,60,5192,60,5252,0.8962677005044885,0.8544616903615663,58.96,58.54,central,10,0.5,0.8333333333333334,0.9359154929577465,0.8546275768078175,23.0,0.0,9.504367988313115,0.0,0.4132333907962224,26,0.8846153846153846,0.0,0.3655526149351198,6.674561391814426,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e9a3625_1_sub-03,Room List V3 Room Behavior and Display,Feature,True,587,2238,558,29,1918,320,15,33,2621,16,0.8823529411764706,3,0.75,1,0,21,1,5257,0,0,0,21,1,5257,22,5279,0.597473674698956,0.7059671842478829,55.97,57.06,central,10,0.3,0.909090909090909,0.9131578947368422,0.8924857870521856,23.0,0.0,4.213534075877372,0.0,0.18319713373379878,26,0.8846153846153846,0.0,0.16205900291836045,6.376726947898627,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_f59af37_1,Simplified Sliding Sync Architecture,Maintenance,True,952,1782,230,722,365,1417,12,8,1606,17,0.9411764705882352,1,0.25,1,0,9,8,5222,1,0,0,8,8,5222,16,5238,0.938673913464083,0.8557040611319044,59.39,58.56,central,10,0.4,0.81875,0.8727537838619494,0.839714583360576,24.0,0.0,4.148386398540261,0.0,0.17284943327251087,26,0.9230769230769231,0.0,0.15955332302077926,6.859614903654202,middle
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_fba5938_1,SSO Pickle Key Generation,Security,True,92,157,67,25,130,27,2,3,771,18,1.0,0,0.0,0,0,1,0,5215,0,0,0,1,0,5215,1,5216,-0.9852204434706624,-0.701667530885742,40.15,42.98,central,10,0.0,0.4,0.12121212121212122,0.11428571428571428,24.0,0.0,0.0,0.0,0.0,26,0.9230769230769231,0.0,0.0,4.532599493153256,almost_never_solved
